Index,Software Name,Software Version,Software Category
bwa,bwa,0.7.17,Deep Learning
bwa-mem2,bwa-mem2,2.2.1,Deep Learning
cadd,CADD,1.6.post1,Deep Learning
canu,Canu,2.1,Deep Learning
canvas,Canvas,1.40,Deep Learning
ccbrpipeliner,ccbrpipeliner,4.0.2,Deep Learning
ceas,ceas,1.0.2,Deep Learning
cellprofiler,cellprofiler,4.2.5,Deep Learning
cellranger,cellranger,7.2.0,Deep Learning
cellranger-arc,cellranger-arc,2.0.2,Deep Learning
cellranger-atac,cellranger-atac,2.1.0,Deep Learning
cellsnp-lite,cellsnp-lite,1.2.2,Deep Learning
cgpbattenberg,cgpBattenberg,3.5.3,Deep Learning
checkm2,checkm2,1.0.2,Deep Learning
chess,CHESS,0.3.7,Deep Learning
chromhmm,ChromHMM,1.23,Deep Learning
circexplorer2,circexplorer2,2.3.8,Deep Learning
circos,circos,0.69-9,Deep Learning
clair3,Clair3,0.1-r6,Deep Learning
clark,clark,1.2.6.1,Deep Learning
cnvkit,cnvkit,0.9.9,Deep Learning
cnvnator,cnvnator,0.4.1,Deep Learning
cogentap,cogentap,2.0.1,Deep Learning
combp,combp,0.50.6,Deep Learning
conpair,conpair,0.2,Deep Learning
crispresso,crispresso,2.2.8,Deep Learning
crossmap,crossmap,0.6.5,Deep Learning
csvkit,csvkit,1.3.0,Deep Learning
cufflinks,cufflinks,2.2.1,Deep Learning
cutadapt,cutadapt,4.4,Deep Learning
cutruntools2,cutruntools2,2.0,Deep Learning
danpos,DANPOS,3.1.1,Deep Learning
deepcell-tf,DeepCell-tf,0.12.6,Deep Learning
deepconsensus,deepconsensus,0.3.1,Deep Learning
deepsignal,deepsignal,2-0.1.3,Deep Learning
deeptools,deeptools,3.5.4,Deep Learning
deepvariant,deepvariant,1.5.0,Deep Learning
defuse,defuse,0.8.1,Deep Learning
delly,delly,1.1.6,Deep Learning
detonate,DETONATE,1.11,Deep Learning
distiller-nf,distiller-nf,0.3.3,Deep Learning
dorado,dorado,0.4.2,Deep Learning
drop,drop,1.3.3,Deep Learning
ea-utils,ea-utils,1.04.807,Deep Learning
edd,edd,1.1.19,Deep Learning
encode-atac-seq-pipeline,encode-atac-seq-pipeline,2.1.0,Deep Learning
epacts,EPACTS,3.4.2,Deep Learning
eukdetect,eukdetect,1.2,Deep Learning
exomiser,exomiser,13.0.1,Deep Learning
express,express,1.5.1,Deep Learning
fanc,fanc,0.9.21,Deep Learning
fastqc,fastqc,0.11.9,Deep Learning
fastqtools,fastqtools,0.8.3,Deep Learning
fastq_screen,fastq_screen,0.15.3,Deep Learning
fastxtoolkit,fastxtoolkit,0.0.14,Deep Learning
fcs,fcs,0.4.0,Deep Learning
fgbio,fgbio,2.0.2,Deep Learning
fithic,fithic,2.0.8,Deep Learning
flanker,flanker,0.1.5,Deep Learning
flashpca,flashpca,2.0,Deep Learning
flexbar,Flexbar,3.5.0,Deep Learning
flye,flye,2.9.1,Deep Learning
fqtools,fqtools,2.0,Deep Learning
freebayes,freebayes,1.3.5,Deep Learning
freec,freec,11.6,Deep Learning
fuseq-wes,fuseq-wes,1.0.0,Deep Learning
fusioncatcher,fusioncatcher,1.33,Deep Learning
gatk,GATK,4.3.0.0,Deep Learning
gem,gem,3.4,Deep Learning
gemini,Gemini,0.30.2,Deep Learning
gemma,GEMMA,0.98.5,Deep Learning
genome browser,Genome Browser,451,Deep Learning
genrich,genrich,0.6,Deep Learning
geomx ngs pipeline,GeoMX NGS Pipeline,2.3.3.10,Deep Learning
gistic,Gistic,2.0.23,Deep Learning
gmap-gsnap,gmap-gsnap,2021-12-17,Deep Learning
gopeaks,gopeaks,1.0.0,Deep Learning
graphaligner,graphaligner,1.0.17b,Deep Learning
gridss,gridss,2.13.2,Deep Learning
gtex_rnaseq,gtex_rnaseq,V10,Deep Learning
gtool,gtool,0.7.5,Deep Learning
gunc,gunc,1.0.5,Deep Learning
guppy,guppy,6.5.7,Deep Learning
hail,Hail,0.2.99,Deep Learning
hap.py,hap.py,0.3.14,Deep Learning
hicexplorer,hicexplorer,3.7.2,Deep Learning
hichipper,hichipper,0.7.7,Deep Learning
hicpro,hicpro,3.1.0,Deep Learning
hic_breakfinder,hic_breakfinder,1.0,Deep Learning
hifiasm,hifiasm,0.19.5,Deep Learning
hint,hint,2.2.7,Deep Learning
hipstr,hipstr,0.7,Deep Learning
hisat,hisat,2.2.2.1-ngs3.0.1,Deep Learning
hla-la,HLA-LA,1.0.3,Deep Learning
hmmratac,HMMRATAC,1.2.10,Deep Learning
homer,homer,4.11.1,Deep Learning
htgts,htgts,2,Deep Learning
htsbox,htsbox,r346,Deep Learning
htseq,htseq,2.0.4,Deep Learning
humann,humann,3.6.0,Deep Learning
idba,IDBA,1.1.3,Deep Learning
idiffir,iDiffIR,20220121,Deep Learning
idr,IDR,2.0.3,Deep Learning
igv,IGV,2.12.3,Deep Learning
igvtools,IGVTools,2.12.3,Deep Learning
impute,IMPUTE,2.3.2,Deep Learning
intervar,InterVar,"2.1.2, 2.1.3",Deep Learning
intervene,intervene,0.6.5,Deep Learning
iva,iva,1.0.11,Deep Learning
ivar,iVar,1.3.1,Deep Learning
juicer,Juicer,1.6,Deep Learning
jvarkit,jvarkit,20211013,Deep Learning
kat,KAT,2.4.2,Deep Learning
kb-python,kb-python,0.27.3,Deep Learning
kmc,KMC,3.1.0,Deep Learning
kmergo2,KmerGO2,2.0.1,Deep Learning
kneaddata,kneaddata,0.11.0,Deep Learning
kraken,kraken,2.1.2,Deep Learning
lefse,lefse,1.0.8,Deep Learning
lja,LJA,0.1,Deep Learning
locuszoom,locuszoom,1.3,Deep Learning
lofreq,lofreq,2.1.5,Deep Learning
lordec,lordec,141,Deep Learning
lumpy,lumpy,0.3.1,Deep Learning
mach2qtl,mach2qtl,1.1.3,Deep Learning
macs,macs,3,Deep Learning
mafft,mafft,7.475,Deep Learning
mageck,MAGeCK,0.5.9.2,Deep Learning
mageck-vispr,mageck-vispr,0.5.6,Deep Learning
magicblast,magicblast,1.7.0,Deep Learning
majiq,MAJIQ,2.4,Deep Learning
manorm,manorm,1.1.4,Deep Learning
manta,manta,1.6.0-fork-jykr,Deep Learning
maps,maps,1.1.0,Deep Learning
mash,mash,2.3,Deep Learning
mbg,mbg,1.0.15,Deep Learning
medaka,medaka,1.10.0,Deep Learning
medusa,medusa,1.6,Deep Learning
megadepth,megadepth,1.2.0,Deep Learning
megahit,MEGAHIT,1.2.9,Deep Learning
megalodon,megalodon,2.5.0,Deep Learning
megan,MEGAN,6.24.11,Deep Learning
merfin,merfin,1.1,Deep Learning
merqury,merqury,1.3,Deep Learning
meryl,Meryl,0.0,Deep Learning
metabat,metabat,2.15,Deep Learning
metal,metal,2020-05-05,Deep Learning
metaphlan,metaphlan,4.0.3,Deep Learning
miniasm,miniasm,0.3.r179,Deep Learning
minimac,minimac,4 (1.0.1,Deep Learning
minimap2,minimap2,2.26,Deep Learning
mirdeep2,mirdeep2,0.1.3,Deep Learning
misopy,misopy,0.5.4,Deep Learning
mitosuite,mitosuite,1.0.9b,Deep Learning
mixcr,mixcr,4.3.2,Deep Learning
mixer,mixer,1.3,Deep Learning
modbamtools,modbamtools,0.4.8,Deep Learning
modkit,modkit,0.1.11,Deep Learning
modphred,modphred,1.0c,Deep Learning
mosaicforecast,mosaicforecast,0.0.1,Deep Learning
mosdepth,mosdepth,0.3.3,Deep Learning
mtoolbox,mtoolbox,1.2.1,Deep Learning
multiqc,multiqc,1.14,Deep Learning
muse,MuSE,2.0.1,Deep Learning
mutect,muTect,1.1.7,Deep Learning
mutsig,MutSig,1.41,Deep Learning
nanopolish,nanopolish,0.14.0,Deep Learning
neusomatic,neusomatic,0.2.1,Deep Learning
ngmlr,NGMLR,0.2.7,Deep Learning
ngsplot,ngsplot,2.63,Deep Learning
novocraft,novocraft,4.03.08,Deep Learning
octopus,Octopus,0.7.4,Deep Learning
ont-fast5-api,ont-fast5-api,4.1.0,Deep Learning
pairtools,pairtools,0.3.0; 1.0.2,Deep Learning
panaroo,panaroo,1.3.3,Deep Learning
parabricks,parabricks,4.0.0,Deep Learning
partekflow,PartekFlow,10.0.23.0720,Deep Learning
pb-cpg-tools,pb-cpg-tools,2.3.1,Deep Learning
pbipa,pbipa,1.8.0,Deep Learning
pbsuite,pbsuite,15.8.24,Deep Learning
pear,pear,0.9.11,Deep Learning
peddy,peddy,0.4.8,Deep Learning
penncnv,PennCNV,1.0.5,Deep Learning
pepatac,PEPATAC,0.10.3,Deep Learning
picard,picard,3.1.0,Deep Learning
picrust,picrust,2.5.2,Deep Learning
pindel,pindel,0.2.5,Deep Learning
platypus,Platypus,0.8.1,Deep Learning
plink,plink,3.6-alpha,Deep Learning
pod5,pod5,0.5.0,Deep Learning
pomoxis,pomoxis,0.3.10,Deep Learning
porechop,porechop,0.2.4,Deep Learning
poretools,poretools,0.6.1a1,Deep Learning
preseq,preseq,3.1.2,Deep Learning
prinseq,PRINSEQ,0.20.4,Deep Learning
proseq,proseq,2.0,Deep Learning
pvactools,pvactools,4.0.1,Deep Learning
pychopper,pychopper,2.7.1,Deep Learning
pyclone,pyclone,0.13.1,Deep Learning
pycoqc,pycoQC,2.5.2,Deep Learning
pyega3,pyega3,5.0.2,Deep Learning
qctool,qctool,2.2,Deep Learning
qualimap,qualimap,2.2.1,Deep Learning
quast,quast,5.2.0,Deep Learning
racon,racon,1.4.3,Deep Learning
ragtag,ragtag,2.1.0,Deep Learning
raremetal,raremetal,4.15.1,Deep Learning
rcorrector,Rcorrector,1.0.5,Deep Learning
regtools,regtools,1.0.0,Deep Learning
repeatmasker,RepeatMasker,4.1.5,Deep Learning
repeatmodeler,repeatmodeler,2.0.1,Deep Learning
reviewer,REViewer,0.2.7,Deep Learning
rgt,rgt,0.13.2,Deep Learning
rilseq,rilseq,0.82,Deep Learning
rnaseqc,rnaseqc,2.4.2,Deep Learning
rockhopper,rockhopper,2.0.3,Deep Learning
rose,ROSE,1.3.1,Deep Learning
rsd,RSD,1.1.7,Deep Learning
rsem,rsem,1.3.3,Deep Learning
rseqc,rseqc,5.0.3,Deep Learning
rtg-tools,rtg-tools,3.8.4,Deep Learning
rvtests,rvtests,2.1.0,Deep Learning
sailfish,sailfish,0.10.0,Deep Learning
salmon,salmon,1.10.0,Deep Learning
salmonte,SalmonTE,0.4,Deep Learning
sambamba,sambamba,0.8.2,Deep Learning
samblaster,samblaster,0.1.26,Deep Learning
samtools,samtools,1.17,Deep Learning
scallop,scallop,0.10.5,Deep Learning
scalpel,scalpel,0.5.4,Deep Learning
scanpy,scanpy,1.8.1,Deep Learning
schicexplorer,schicexplorer,7,Deep Learning
scramble,Scramble,1.0.2,Deep Learning
seqan,seqan,2.4.0,Deep Learning
seqkit,seqkit,2.2.0,Deep Learning
seqtk,seqtk,1.4,Deep Learning
sequenza-utils,sequenza-utils,3.0.0,Deep Learning
shapeit,shapeit,5.1.0,Deep Learning
shasta,shasta,0.11.1,Deep Learning
shmlast,shmlast,1.6,Deep Learning
shrimp,shrimp,2_2_3,Deep Learning
sicer,sicer,2-1.0.3,Deep Learning
sickle,sickle,1.33,Deep Learning
sift,SIFT,6.2.1,Deep Learning
slamdunk,slamdunk,0.4.3,Deep Learning
smrtanalysis,smrtanalysis,12.0.0.177059,Deep Learning
sniffles,sniffles,2.2,Deep Learning
snippy,snippy,4.6.0,Deep Learning
snp2hla,snp2hla,1.0.3,Deep Learning
snpeff,snpEff,5.1d,Deep Learning
snptest,snptest,2.5.6,Deep Learning
somaticsniper,somaticsniper,1.0.5.0,Deep Learning
sortmerna,sortmeRNA,4.3.6,Deep Learning
spaceranger,spaceranger,2.1.1,Deep Learning
spades,spades,3.15.5,Deep Learning
speedseq,speedseq,0.1.2-20180208-4e60002,Deep Learning
sratoolkit,sratoolkit,3.0.2,Deep Learning
srst2,SRST2,0.2.0,Deep Learning
stampy,stampy,1.0.32,Deep Learning
star,STAR,2.7.10b,Deep Learning
star-fusion,STAR-Fusion,1.12.0,Deep Learning
stream,STREAM,20180816,Deep Learning
strelka,strelka,2.9.10,Deep Learning
stringtie,stringtie,2.2.1,Deep Learning
subread,subread,2.0.3,Deep Learning
suppa,suppa,2.3,Deep Learning
survivor,SURVIVOR,1.0.7,Deep Learning
svanna,svanna,1.0.3,Deep Learning
svtyper,svtyper,0.7.1,Deep Learning
svviz,svviz,1.6.2,Deep Learning
talon,talon,6.0,Deep Learning
taxonkit,taxonkit,0.12.0,Deep Learning
telescope,telescope,6cd5525,Deep Learning
telseq,telseq,0.0.2,Deep Learning
tetoolkit,tetoolkit,2.2.1,Deep Learning
theta,THetA,0.7-20-g94fd772,Deep Learning
tombo,tombo,1.5.1,Deep Learning
tophat,tophat,2.1.2,Deep Learning
tpmcalculator,TPMCalculator,0.0.4,Deep Learning
transcript_clean,transcript_clean,2.0.3,Deep Learning
transdecoder,TransDecoder,5.5.0,Deep Learning
transvar,transvar,2.5.9,Deep Learning
trimal,trimAl,1.2rev59,Deep Learning
trimgalore,trimgalore,0.6.7,Deep Learning
trimmomatic,trimmomatic,0.39,Deep Learning
trinity,trinity,2.15.1,Deep Learning
trnascan-se,tRNAscan-SE,2.0.9,Deep Learning
ultraplex,ultraplex,1.2.5,Deep Learning
umitools,umitools,1.1.2,Deep Learning
vcf2maf,vcf2maf,1.6.21,Deep Learning
vcfanno,vcfanno,0.3.3,Deep Learning
vcflib,vcflib,1.0.3,Deep Learning
vcftools,vcftools,0.1.16,Deep Learning
vep,VEP,110,Deep Learning
verifybamid,verifybamid,2.0.1,Deep Learning
verkko,verkko,1.4.1,Deep Learning
virsorter2,VirSorter2,2.2.3,Deep Learning
virtus,VIRTUS,2.0.1,Deep Learning
vsearch,vsearch,2.22.1,Deep Learning
vt,vt,0.57721,Deep Learning
winnowmap,winnowmap,2.03,Deep Learning
xhla,xHLA,2018-04-04,Deep Learning
xhmm,XHMM,2016-01-04,Deep Learning
yak,yak,r69,Deep Learning
3dslicer,3DSlicer,5.2.2,Deep Learning
afni,AFNI,current-py3,Deep Learning
ants,ANTs,2.4.2,Deep Learning
aretomo,AreTomo,1.3.4,Deep Learning
b-soid,B-SOID,1.3,Deep Learning
baracus,baracus,1.1.4,Deep Learning
brkraw,BrkRaw,0.3.6,Deep Learning
bsoft,Bsoft,1.9.0,Deep Learning
c3d,c3d,1.1.0,Deep Learning
cellpose,cellpose,2.1.1,Deep Learning
cistem,cisTEM,1.0.0-beta,Deep Learning
civet,civet,2.1.1,Deep Learning
cmtk,cmtk,3.3.2,Deep Learning
compucell3d,CompuCell3D,4.4.0,Deep Learning
connectome-workbench,connectome-workbench,1.5.0,Deep Learning
coolbox,coolbox,0.3.8,Deep Learning
cryosparc,cryosparc,4.2.1,Deep Learning
ctf,CTF,6.1,Deep Learning
ctffind,ctffind,4.1.14,Deep Learning
dcm2niix,dcm2niix,1.0.20211006,Deep Learning
deepcad,DeepCAD,20210826,Deep Learning
deeplabcut,DeepLabCut,2.3.4,Deep Learning
deepmedic,deepmedic,0.8.4,Deep Learning
dmriprep,dmriprep,0.5.0,Deep Learning
dynamo,dynamo,1.1.532,Deep Learning
elastix,elastix,4.9; 5.1.0,Deep Learning
eman2,EMAN2,2.99,Deep Learning
fastsurfer,fastsurfer,1.1.1,Deep Learning
fiji,Fiji,1.52f,Deep Learning
fitlins,fitlins,0.9.1,Deep Learning
fmriprep,fmriprep,23.1.4,Deep Learning
frealign,Frealign,9.11_151031,Deep Learning
freesurfer,Freesurfer,7.4.1,Deep Learning
fsl,FSL,6.0.6,Deep Learning
gctf,Gctf,1.06,Deep Learning
huygens,Huygens,23.04.0-p6,Deep Learning
imaris,Imaris,9.7,Deep Learning
imod,IMOD,4.12.25,Deep Learning
isonet,IsoNet,0.2.1,Deep Learning
itk-snap,ITK-SNAP,3.8.0,Deep Learning
itk-snap-bs,ITK-SNAP-BS,20131007,Deep Learning
laynii,laynii,2.4.0,Deep Learning
magetbrain,magetbrain,1.0,Deep Learning
mango,mango,4.1,Deep Learning
minc-toolkit,minc-toolkit,1.9.18,Deep Learning
mipav,MIPAV,11.0.3,Deep Learning
monailabel,MONAILabel,0.3.2; 0.4.2,Deep Learning
motioncor2,MotionCor2,1.5.0,Deep Learning
mricron,mricron,1.0.20190902,Deep Learning
mriqc,mriqc,23.1.0,Deep Learning
mrtrix,mrtrix,3.0.4,Deep Learning
mrtrix3tissue,mrtrix3tissue,5.2.9,Deep Learning
napari,napari,0.4.18,Deep Learning
nibabies,nibabies,22.0.2,Deep Learning
openslide,OpenSlide,3.4.1,Deep Learning
peet,PEET,1.15.0,Deep Learning
petprep_hmc,petprep_hmc,0.06,Deep Learning
plastimatch,plastimatch,1.9.3,Deep Learning
pytom,PyTom,1.0,Deep Learning
qsiprep,qsiprep,0.16.1,Deep Learning
qupath,QuPath,0.4.1,Deep Learning
relion,RELION,4.0.1,Deep Learning
resmap,ResMap,1.9,Deep Learning
samsrcv3,SAMsrcV3,20180713-c5e1042,Deep Learning
simnibs,SimNIBS,4.0,Deep Learning
smriprep,smriprep,0.8.3,Deep Learning
sphire,SPHIRE,1.4,Deep Learning
spm12,spm12,7870,Deep Learning
tedana,tedana,23.0.1,Deep Learning
tomotwin,tomotwin,0.5.0,Deep Learning
topaz,topaz,0.2.5-ba91e19,Deep Learning
tortoise,TORTOISE,3.2.0,Deep Learning
tractseg,tractseg,1.7.1,Deep Learning
xcpengine,xcpengine,1.2.4,Deep Learning
xcp_d,xcp_d,0.5.0,Deep Learning
admixtools,AdmixTools,7.0.2,Deep Learning
admixture,admixture,1.3.0,Deep Learning
arcashla,arcashla,0.5.0,Deep Learning
beagle,Beagle,5.4_22Jul22,Deep Learning
beagle-lib,beagle-lib,4.0,Deep Learning
beast,BEAST,"1.10.4,2.6.2",Deep Learning
biobakery_workflows,biobakery_workflows,3.1,Deep Learning
cd-hit,CD-HIT,4.6.8,Deep Learning
eigensoft,eigensoft,8.0.0,Deep Learning
fastqtl,FastQTL,2.184,Deep Learning
fasttree,FastTree,2.1.11,Deep Learning
gcta,GCTA,1.94.0beta0,Deep Learning
gtdb-tk,gtdb-tk,2.3.2,Deep Learning
gubbins,gubbins,2.3.4,Deep Learning
hyphy,hyphy,2.5.29,Deep Learning
iqtree,iqtree,2.2.0.5,Deep Learning
king,king,2.2.7,Deep Learning
ltsoft,LTSOFT,4.0,Deep Learning
madeline2,Madeline2,2.0,Deep Learning
mega,MEGA,11.0.10,Deep Learning
mega2,mega2,6.0.0,Deep Learning
merlin,merlin,1.1.2,Deep Learning
mothur,mothur,1.48.0,Deep Learning
mrbayes,MrBayes,3.2.7,Deep Learning
ohana,ohana,current,Deep Learning
phase,phase,2.1.1,Deep Learning
phylip,Phylip,3.698,Deep Learning
pplacer,pplacer,1.1,Deep Learning
primus,PRIMUS,1.9.0,Deep Learning
prsice,PRSice,2.3.3,Deep Learning
qiime,QIIME,2023.5,Deep Learning
raxml,RAxML,8.2.12,Deep Learning
raxml-ng,raxml-ng,1.2.0,Deep Learning
revbayes,RevBayes,1.2.1,Deep Learning
scdrs,scDRS,1.02,Deep Learning
shapeit,shapeit,5.1.0,Deep Learning
smr,SMR,0.702; 1.03; 1.3.1,Deep Learning
solar,solar,9.0.1,Deep Learning
sumtrees,sumtrees,4.5.2,Deep Learning
tensorqtl,TensorQTL,1.0.7,Deep Learning
treemix,treemix,1.13,Deep Learning
treetime,treetime,0.11.1,Deep Learning
abyss,abyss,2.3.5,High-Throughput Sequencing
afterqc,AfterQC,0.9.7,High-Throughput Sequencing
angsd,angsd,0.940,High-Throughput Sequencing
annotsv,AnnotSV,3.3.1,High-Throughput Sequencing
annovar,ANNOVAR,2020-06-08,High-Throughput Sequencing
ascatngs,ascatNgs,4.5.0,High-Throughput Sequencing
augustus,augustus,3.4.0,High-Throughput Sequencing
autoreject,autoreject,0.3.1,High-Throughput Sequencing
bam2fastq,bam2fastq,1.1.0,High-Throughput Sequencing
bamliquidator,bamliquidator,1.5.2,High-Throughput Sequencing
bamreadcount,bamreadcount,cram-v0.0.1,High-Throughput Sequencing
bamtools,bamtools,2.5.2,High-Throughput Sequencing
bamutil,bamUtil,1.0.15,High-Throughput Sequencing
bartender,Bartender,1.1,High-Throughput Sequencing
basespace_cli,basespace_cli,1.5.2,High-Throughput Sequencing
bazam,bazam,1.0.1,High-Throughput Sequencing
bbtools,bbtools,38.96,High-Throughput Sequencing
bcl-convert,bcl-convert,4.1.5,High-Throughput Sequencing
bcl2fastq,bcl2fastq,2.20,High-Throughput Sequencing
bedops,bedops,2.4.41,High-Throughput Sequencing
bedtools,bedtools,2.30.0,High-Throughput Sequencing
beta,BETA,1.0.7,High-Throughput Sequencing
bigscale2,bigSCale2,20191119,High-Throughput Sequencing
bioawk,bioawk,1.0,High-Throughput Sequencing
biobakery_workflows,biobakery_workflows,3.1,High-Throughput Sequencing
biobambam2,biobambam2,2.0.185-release-20221211202123,High-Throughput Sequencing
biom-format,biom-format,2.1.12,High-Throughput Sequencing
bismark,bismark,0.23.1,High-Throughput Sequencing
bonito,bonito,0.7.2,High-Throughput Sequencing
bowtie,bowtie,1.3.1,High-Throughput Sequencing
bowtie2,bowtie2,2.5.1,High-Throughput Sequencing
brass,BRASS,6.3.4,High-Throughput Sequencing
breakdancer,breakdancer,1.4.5,High-Throughput Sequencing
breseq,breseq,0.37.1,High-Throughput Sequencing
bsmap,bsmap,2.90,High-Throughput Sequencing
busco,busco,5.4.7,High-Throughput Sequencing
bwa,bwa,0.7.17,High-Throughput Sequencing
bwa-mem2,bwa-mem2,2.2.1,High-Throughput Sequencing
cadd,CADD,1.6.post1,High-Throughput Sequencing
canu,Canu,2.1,High-Throughput Sequencing
canvas,Canvas,1.40,High-Throughput Sequencing
ccbrpipeliner,ccbrpipeliner,4.0.2,High-Throughput Sequencing
ceas,ceas,1.0.2,High-Throughput Sequencing
cellprofiler,cellprofiler,4.2.5,High-Throughput Sequencing
cellranger,cellranger,7.2.0,High-Throughput Sequencing
cellranger-arc,cellranger-arc,2.0.2,High-Throughput Sequencing
cellranger-atac,cellranger-atac,2.1.0,High-Throughput Sequencing
cellsnp-lite,cellsnp-lite,1.2.2,High-Throughput Sequencing
cgpbattenberg,cgpBattenberg,3.5.3,High-Throughput Sequencing
checkm2,checkm2,1.0.2,High-Throughput Sequencing
chess,CHESS,0.3.7,High-Throughput Sequencing
chromhmm,ChromHMM,1.23,High-Throughput Sequencing
circexplorer2,circexplorer2,2.3.8,High-Throughput Sequencing
circos,circos,0.69-9,High-Throughput Sequencing
clair3,Clair3,0.1-r6,High-Throughput Sequencing
clark,clark,1.2.6.1,High-Throughput Sequencing
cnvkit,cnvkit,0.9.9,High-Throughput Sequencing
cnvnator,cnvnator,0.4.1,High-Throughput Sequencing
cogentap,cogentap,2.0.1,High-Throughput Sequencing
combp,combp,0.50.6,High-Throughput Sequencing
conpair,conpair,0.2,High-Throughput Sequencing
crispresso,crispresso,2.2.8,High-Throughput Sequencing
crossmap,crossmap,0.6.5,High-Throughput Sequencing
csvkit,csvkit,1.3.0,High-Throughput Sequencing
cufflinks,cufflinks,2.2.1,High-Throughput Sequencing
cutadapt,cutadapt,4.4,High-Throughput Sequencing
cutruntools2,cutruntools2,2.0,High-Throughput Sequencing
danpos,DANPOS,3.1.1,High-Throughput Sequencing
deepcell-tf,DeepCell-tf,0.12.6,High-Throughput Sequencing
deepconsensus,deepconsensus,0.3.1,High-Throughput Sequencing
deepsignal,deepsignal,2-0.1.3,High-Throughput Sequencing
deeptools,deeptools,3.5.4,High-Throughput Sequencing
deepvariant,deepvariant,1.5.0,High-Throughput Sequencing
defuse,defuse,0.8.1,High-Throughput Sequencing
delly,delly,1.1.6,High-Throughput Sequencing
detonate,DETONATE,1.11,High-Throughput Sequencing
distiller-nf,distiller-nf,0.3.3,High-Throughput Sequencing
dorado,dorado,0.4.2,High-Throughput Sequencing
drop,drop,1.3.3,High-Throughput Sequencing
ea-utils,ea-utils,1.04.807,High-Throughput Sequencing
edd,edd,1.1.19,High-Throughput Sequencing
encode-atac-seq-pipeline,encode-atac-seq-pipeline,2.1.0,High-Throughput Sequencing
epacts,EPACTS,3.4.2,High-Throughput Sequencing
eukdetect,eukdetect,1.2,High-Throughput Sequencing
exomiser,exomiser,13.0.1,High-Throughput Sequencing
express,express,1.5.1,High-Throughput Sequencing
fanc,fanc,0.9.21,High-Throughput Sequencing
fastqc,fastqc,0.11.9,High-Throughput Sequencing
fastqtools,fastqtools,0.8.3,High-Throughput Sequencing
fastq_screen,fastq_screen,0.15.3,High-Throughput Sequencing
fastxtoolkit,fastxtoolkit,0.0.14,High-Throughput Sequencing
fcs,fcs,0.4.0,High-Throughput Sequencing
fgbio,fgbio,2.0.2,High-Throughput Sequencing
fithic,fithic,2.0.8,High-Throughput Sequencing
flanker,flanker,0.1.5,High-Throughput Sequencing
flashpca,flashpca,2.0,High-Throughput Sequencing
flexbar,Flexbar,3.5.0,High-Throughput Sequencing
flye,flye,2.9.1,High-Throughput Sequencing
fqtools,fqtools,2.0,High-Throughput Sequencing
freebayes,freebayes,1.3.5,High-Throughput Sequencing
freec,freec,11.6,High-Throughput Sequencing
fuseq-wes,fuseq-wes,1.0.0,High-Throughput Sequencing
fusioncatcher,fusioncatcher,1.33,High-Throughput Sequencing
gatk,GATK,4.3.0.0,High-Throughput Sequencing
gem,gem,3.4,High-Throughput Sequencing
gemini,Gemini,0.30.2,High-Throughput Sequencing
gemma,GEMMA,0.98.5,High-Throughput Sequencing
genome browser,Genome Browser,451,High-Throughput Sequencing
genrich,genrich,0.6,High-Throughput Sequencing
geomx ngs pipeline,GeoMX NGS Pipeline,2.3.3.10,High-Throughput Sequencing
gistic,Gistic,2.0.23,High-Throughput Sequencing
gmap-gsnap,gmap-gsnap,2021-12-17,High-Throughput Sequencing
gopeaks,gopeaks,1.0.0,High-Throughput Sequencing
graphaligner,graphaligner,1.0.17b,High-Throughput Sequencing
gridss,gridss,2.13.2,High-Throughput Sequencing
gtex_rnaseq,gtex_rnaseq,V10,High-Throughput Sequencing
gtool,gtool,0.7.5,High-Throughput Sequencing
gunc,gunc,1.0.5,High-Throughput Sequencing
guppy,guppy,6.5.7,High-Throughput Sequencing
hail,Hail,0.2.99,High-Throughput Sequencing
hap.py,hap.py,0.3.14,High-Throughput Sequencing
hicexplorer,hicexplorer,3.7.2,High-Throughput Sequencing
hichipper,hichipper,0.7.7,High-Throughput Sequencing
hicpro,hicpro,3.1.0,High-Throughput Sequencing
hic_breakfinder,hic_breakfinder,1.0,High-Throughput Sequencing
hifiasm,hifiasm,0.19.5,High-Throughput Sequencing
hint,hint,2.2.7,High-Throughput Sequencing
hipstr,hipstr,0.7,High-Throughput Sequencing
hisat,hisat,2.2.2.1-ngs3.0.1,High-Throughput Sequencing
hla-la,HLA-LA,1.0.3,High-Throughput Sequencing
hmmratac,HMMRATAC,1.2.10,High-Throughput Sequencing
homer,homer,4.11.1,High-Throughput Sequencing
htgts,htgts,2,High-Throughput Sequencing
htsbox,htsbox,r346,High-Throughput Sequencing
htseq,htseq,2.0.4,High-Throughput Sequencing
humann,humann,3.6.0,High-Throughput Sequencing
idba,IDBA,1.1.3,High-Throughput Sequencing
idiffir,iDiffIR,20220121,High-Throughput Sequencing
idr,IDR,2.0.3,High-Throughput Sequencing
igv,IGV,2.12.3,High-Throughput Sequencing
igvtools,IGVTools,2.12.3,High-Throughput Sequencing
impute,IMPUTE,2.3.2,High-Throughput Sequencing
intervar,InterVar,"2.1.2, 2.1.3",High-Throughput Sequencing
intervene,intervene,0.6.5,High-Throughput Sequencing
iva,iva,1.0.11,High-Throughput Sequencing
ivar,iVar,1.3.1,High-Throughput Sequencing
juicer,Juicer,1.6,High-Throughput Sequencing
